"produkt_id";"sku";"cena";"ilosc"
16593568;64090;638.22;1
21686987;103348;898.88;0
21680467;103380;1698.88;0
16593566;64086;;1
13352925;DL-790-SL-I32-250-RW-W7PR;377.77;64
15725173;56308;;1
15725174;56310;;1
15725072;55830;;1
15724931;52788;;1
15725045;55758;;1
15725082;55864;348.44;0
17178535;68176;578.55;0
18556931;DL-780-SL-E7-160-DVD-NC;;1
18556930;DL-7010-SL-I53-500-RW-NC;575.55;1
24189695;LN-M93P-DT-I54-500-RW-W8PR+7;1768.88;58
15727401;DL-9020-SL-I54-250-RW-W7PR;;0
15726045;60178;498.88;0
16789955;69340;998.88;5
21913848;68764;777.77;0
16791397;62514;529.22;0
15727509;HP-8000-US-C2D-W7PR;;0
15726712;62324;;1
23911686;104602;798.88;0
17621442;69482;1522.22;0
23132133;LN-M81-DT-I32-250-RW-W7PR+8;822.22;47
16203297;66234;398.88;0
22682543;60042;;0
15725434;57370;;1
15725644;58984;;1
15725645;58986;;1
15725097;55900;;1
15725093;55892;;1
15725094;55894;;1
16790459;64398;1672.22;0
16790044;69324;1198.88;0
16790050;69322;997.55;4
16790085;66094;783.22;1
16790076;64404;1622.22;0
16790712;64376;1098.88;0
20363933;HP-3010-TW-PEN5-RW-NC;;1
15725102;55912;;1
15725540;58262;;1
15725554;58288;;1
15725552;58284;;1
16965985;60388;458.55;0
18413060;LN-M93P-DT-I54-500-RW-W8PR+5;1053.32;58
18615878;68848;475.55;0
16000069;63680;522.22;0
16593572;64098;;1
15725171;56304;455.55;4
16593571;64096;;1
15767399;63762;662.22;0
17040900;60178;598.88;0
22682319;58166;;0
15725518;58218;;1
15725495;58054;;1
15725092;55888;;1
15724918;50126;;1
15725166;56254;472.22;0
15725167;56286;1898.88;0
22682305;57988;;0
15725106;55920;;1
15725012;55402;538.22;0
17052707;61038;565.55;0
22682781;60864;;0
23124639;LN-M81-DT-I32-250-RW-W7PR+3;572.22;47
21325450;BL_LISTWA;;1999
15727126;65206;;1
15772620;63582;442.22;0
15727127;65208;;1
17040959;LCD-DL-P2412-KLA;448.44;17
15727146;65244;;1
18455087;67446;998.88;0
16965267;60828;418.08;0
20941477;71104;682.22;0
20378625;70402;612.02;0
23133028;LN-M81-DT-I32-250-RW-W7PR+9;1042.22;47
16219083;66220;398.88;0
15725058;55802;348.44;0
18414063;LN-M93P-DT-I54-500-RW-W8PR+6;1163.88;58
15727507;HP-8000-DT-CEL-320-RW-W7PR;;0
16593570;64094;;1
18556936;LCD-DL-E2213-KLA;;1
17621420;69424;;1
15727506;HP-8000-DT-CEL-250-RW-W7PR;;0
15727396;DL-9020-AO-I54-120SSD-DVD-W7PR;;0
15727397;DL-9020-AO-I54-120SSD-RW-W7PR;;0
15726370;60956;488.88;0
16967520;62432;422.22;0
16967197;59530;598.88;0
16967172;56202;528.22;0
16967115;60544;842.22;1
16967131;62792;688.88;0
16967068;62788;626.22;0
16967035;60538;727.22;0
16967033;59448;842.22;0
16966944;60718;472.22;0
16966890;60748;515.05;0
16966539;62256;348.44;0
16966428;61406;242.22;0
16966200;60822;388.88;0
16966182;55732;412.02;0
16970033;60398;598.55;0
16970007;56840;238.22;0
16970000;59050;562.22;0
16969970;55514;438.22;0
16969947;59052;525.22;0
16969237;59768;638.22;0
16969053;55684;495.55;0
15725891;59480;;1
15725727;59152;325.22;0
23133128;LN-M81-DT-I32-250-RW-W7PR+7;1262.22;47
15725728;59154;;1
15726289;60736;;0
16857983;65732;342.22;3
17637660;69406;1492.22;7
16794352;62502;718.08;0
15725953;59826;398.88;0
17053863;59402;444.44;0
15725061;55808;;1
22682395;59140;;0
15725069;55824;;1
15725059;55804;;1
15725048;55762;;1
15725056;55798;308.08;0
15725019;55454;;1
15725746;59188;;1
15725057;55800;;1
15725073;55832;;1
22682327;58326;;0
15725049;55764;;1
17096034;67988;425.22;0
15726340;60838;452.22;0
15724980;55040;;1
20729463;71182;898.88;0
16232632;66176;462.22;0
22682383;59094;;0
15726369;60954;485.55;0
22682194;54916;;0
16357516;63982;2398.88;0
15727505;HP-8000-DT-C2D-W7PR;152.22;0
15725951;59820;452.22;1
15727504;HP-705G2-DT-A4-NOCOA;375.55;1
15725565;58312;;1
15726705;62310;517.07;0
22682269;57252;;0
15727394;DL-9010-US-I53-W7PR;;0
16641851;64388;1722.22;0
19262753;66298;1142.22;8
16632177;64372;1098.88;0
23798614;104642;1998.88;1
15725949;59816;815.05;0
23921009;104540;1822.22;4
22682173;51964;;0
18508362;68290;535.22;0
22682200;55026;;0
18508443;68296;635.22;0
18507442;68276;2418.08;0
23358004;62262;398.0;0
23357938;54392;382.22;1
22682172;50300;;0
15726365;60938;348.44;1
16168330;66344;1998.88;0
19181758;56522;318.08;0
19310477;69780;898.88;0
19181468;55778;808.08;0
15675413;65094;298.88;1
22682831;61358;;0
17443141;67140;695.55;0
17621455;69500;;1
22682648;60348;;0
22682171;50224;;0
15725948;59814;487.77;0
17621450;69494;1777.77;3
15725051;55772;455.22;0
15725745;59186;;1
22682170;47694;;0
16034442;62728;1038.22;0
17621460;69508;;1
17621423;69430;;1
15678039;65090;415.05;0
18508156;68288;368.55;0
22682291;57862;;0
16593573;64100;;1
16593569;64092;;1
18507657;68278;2418.08;0
16972023;56254;612.02;0
16170900;66284;1777.77;0
22682547;60046;;0
22682546;60044;;0
15727390;DL-9010-SL-I53-W7PR;748.44;0
15727389;DL-9010-SL-I53-500-RW-W7PR;;0
22682169;103386;;0
21325222;BL_STACJAPR03X;;1997
21325335;BL_TPLINK841N;;1999
22682240;56292;;0
23371838;59056;875.55;1
23371788;55980;518.08;1
23283306;LN-M93P-US-I74-500-W8PR;;0
23283305;LN-M82-TW-I53-1000-RW-W7PR;;0
23283303;LN-M82-DT-I33-250-W8PR;;20
23283302;LN-M82-DT-I33-250-RW-W8PR;;2
23283301;HP-Z420-TW-E5V2-260S-RW-W8PR;;2
23283299;HP-Z420-TW-E5V2-250S-RW-W8PR;;6
23283298;HP-Z420-TW-E5V2-240S-RW-W8PR;;18
23283297;HP-Z420-TW-E5-2000-RW-W8PR;;6
23283296;HP-Z420-TW-E5-1000-RW-W8PR;;1
23283294;HP-8300-TW-I53-500-RW-W8PR+6;755.55;11
23283293;HP-800G2-DT-I56-500-RW-W10PR;;1
23283292;DL-T3610-TW-E5-500-W8PR;;4
23283291;DL-9010-SL-I73-250-DVD-W7PR;;0
16171235;66276;1762.22;0
22682517;59818;;0
15726091;60270;318.08;0
22682318;58136;;0
22682239;56290;;0
15727387;DL-9010-SL-I53-250-DVD-W7PR;;0
15727383;DL-8700-TW-I74-1000-RW-W7PR;2788.88;0
15727385;DL-8700-TW-I74-256SSD-RW-W7PR;;0
15727384;DL-8700-TW-I74-1000-RW-W8PR;;0
20943702;71102;678.55;0
22682168;103384;;0
22682548;60050;;0
15726359;60912;;1
22682848;61390;;0
15727502;HP-705G1-DT-A4-NOCOA;337.22;1
15727381;DL-790-US-PEN8-W7PR;305.05;1
22682193;54724;;0
15726358;60910;;0
22682630;60308;;0
15726095;60278;;1
15726533;61556;398.55;0
22682192;54624;;0
15726094;60276;;1
22682238;56250;;0
15726534;61558;;1
15727379;DL-790-US-I32-W7PR;;0
22682165;103356;;0
15726657;62218;;1
22682268;57230;;0
22682237;56246;;0
22682516;59812;;0
22682267;57208;;0
22682236;55978;;0
22682290;57860;;0
15727380;DL-790-US-I52-W7PR;;0
15727378;DL-790-US-I32-250-RW-W7PR;;0
15727376;DL-790-TW-I52-W7PR;;0
15727501;HP-6305-DT-A8-500-RW-W7HP;472.22;1
15727377;DL-790-US-CEL-W7PR;;0
15726360;60920;;1
15727500;HP-6305-DT-A8-500-RW-NOCOA;;0
16139449;63772;1598.55;0
15726355;60906;1242.22;0
15726093;60274;;1
15727499;HP-6305-DT-A6-W7PR;;0
15727373;DL-790-TW-I52-250-W7PR;;0
15727241;69344;;1
15727242;69346;;1
22682646;60344;;0
15727244;69350;;1
22682647;60346;;0
15727247;69356;;1
15727248;69358;;1
15727249;69360;;1
22682235;55886;;0
15726692;62286;515.05;0
22682385;59096;;0
15727370;DL-790-SL-I52-250-RW-W7PR-B;;0
15727371;DL-790-SL-I52-250-W7PR;615.05;44
15727372;DL-790-TW-I52-250-RW-W7PR;;0
22682244;56416;;0
16593567;64088;;1
22682234;55868;;0
15727498;HP-6300-TW-PEN6-250-W7PR;;0
22682399;59146;;0
22682164;103354;;0
22682689;60552;;0
15727497;HP-6300-TW-PEN6-250-RW-W7PR;259.55;33
22682265;57170;;0
15727368;DL-790-DT-I52-250-RW-W7PR;;0
15727369;DL-790-DT-I52-W7PR;;0
15726349;60856;;1
22682688;60542;;0
15726351;60860;1195.55;0
17635636;69420;1472.22;12
22682398;59144;;0
15726350;60858;;1
22682703;60588;;0
15726090;60268;;1
15727357;DL-760-SL-PEN5-NOCOA;;0
15727359;DL-780-SL-C2D-W7PR;;0
15727360;DL-780-SL-C2Q-W7PR;;0
15727361;DL-780-SL-E8-250-DVD-W7PR;;0
15727363;DL-780-SL-PEN5-VST;;1
15727364;DL-780-US-E7-160-DVD-W7PR;;0
15727366;DL-780-US-E7-160-RW-W7PR;;0
15727367;DL-780-US-E7-250-DVD-W7PR;;0
15727346;DL-7020-TW-I54-500-RW-W7PR;908.08;0
15727347;DL-7020-TW-I74-500-RW-W7PR;;0
15727349;DL-745-DT-C2D-XPPR;104.04;0
15727350;DL-755-DT-E4-80-DVD-VST;;0
15727352;DL-755-SL-C2D-NOCOA;;0
15727353;DL-755-SL-C2D-XPPR;;0
15727354;DL-760-DT-PEN2-VST;112.02;0
15727356;DL-760-DT-PEN5-VST;132.22;0
17621461;69510;;1
15726088;60264;;1
15763639;63756;868.55;0
23817053;104636;1795.55;0
22682264;57166;;0
15725018;55452;;1
15725017;55448;;1
15725608;58632;;1
22682216;55444;;0
22682243;56372;;0
22682263;57162;;0
22682719;60664;;0
15725340;56728;;1
15725319;56686;;1
15725261;56570;;1
15725260;56568;;1
22682675;60486;;0
15725077;55840;;1
15726347;60852;708.08;0
15726841;62590;;1
15726085;60258;;1
15725920;59538;1018.08;1
15725035;55690;;1
15725034;55688;;1
15725040;55726;;1
22682710;60638;;0
15725741;59178;;1
15725032;55682;;1
15727275;DL-3020-SL-I34-W7PR;;0
15725253;56556;;1
22682326;58324;;0
15725067;55820;;1
15725066;55818;;1
15726685;62272;;1
15726684;62270;796.55;1
22682803;61014;;0
15725028;55496;682.22;0
15727496;HP-6300-TW-I33-500-RW-W7PR;388.88;0
15763553;63760;875.55;0
15725332;56712;;1
15725125;55962;;1
22682825;61340;;0
22682401;59148;;0
15726622;62140;;1
15726341;60840;;1
15727495;HP-6300-TW-I33-320-RW-NOCOA;;0
15725350;56758;;1
15725617;58678;588.88;0
15725256;56562;;1
15725255;56560;;1
15726345;60848;685.55;0
15726344;60846;;1
15725647;58990;;1
15725364;56804;;1
15725351;56760;;1
15725587;58546;;1
15725016;55446;298.88;0
15727345;DL-7020-SL-I34-500-RW-W8PR;;0
15726522;61536;1248.44;0
16593565;64084;;1
15725025;55464;;1
15725076;55838;245.44;0
22682731;60706;;0
22682734;60714;;0
15725668;59032;;1
15725450;57486;1322.22;1
15725070;55826;;1
22682644;60342;;0
22682580;60140;;0
15725071;55828;;1
15727494;HP-6300-DT-PEN6-250-RW-W7PR;;0
22682410;59220;;0
15726087;60262;;1
15726086;60260;;1
15726840;62588;449.55;1
22682317;58120;;0
15725648;58992;;1
15725075;55836;;1
15725074;55834;388.88;2
15725743;59182;;1
15725155;56146;;1
16593564;64082;1058.55;0
16593563;64080;;1
16593562;64078;;1
16593560;64070;;1
16593558;64064;;1
16593556;64058;;1
16593554;64054;;1
16593553;64052;;1
16593551;64042;;1
22682583;60144;;0
16593547;64030;;1
22682642;60334;;0
16593544;64018;;1
16593543;64016;418.08;0
16593542;64014;;1
22682394;59120;;0
16593539;64008;;1
16593538;64006;396.55;0
16593537;64004;392.22;0
16593536;64000;;1
22682676;60490;;0
22682725;60682;;0
22682780;60850;;0
16593525;63968;472.22;0
16593523;63964;;1
16593522;63962;;1
16593521;63960;;1
16593520;63958;;1
16593519;63956;;1
16593518;63954;;1
16593517;63952;;1
16593516;63950;;1
16593513;63944;;1
16593512;63942;;1
16593510;63938;422.22;3
22682810;61028;;0
16593508;63934;;1
16593507;63932;;1
15727342;DL-7010-US-PEN2-W7PR;;0
16171725;66274;1565.55;1
16173122;66270;1398.88;0
15727492;HP-6300-DT-PEN2-250-DVD-W7PR;;0
15727493;HP-6300-DT-PEN6-250-RW-W10PRO;;0
17621468;69518;1812.02;2
17621463;69512;;1
17621419;69420;;12
23124466;LN-M81-DT-I32-250-RW-W7PR+6;657.22;47
15727341;DL-7010-US-I33-W7PR;;0
23124789;LN-M81-DT-I32-250-RW-W7PR+4;672.22;47
15726338;60834;;1
22682365;59060;;0
23504080;56046;1898.88;1
22682421;59242;;0
23669574;HP-8300-US-I53-320-RW-W7PR+5;710.55;6
23694342;104830;818.08;9
15726516;61524;;1
22682154;102748;;0
16683946;64540;1998.88;0
23124341;LN-M81-DT-I32-250-RW-W7PR+5;542.22;47
15725670;59036;;1
15725141;56002;;1
15725410;57290;;1
15725643;58982;;1
15725419;57318;;1
15725418;57314;;1
15725398;57242;;1
15725561;58304;;1
15725503;58100;;1
22682672;60484;;0
15725562;58306;;1
15725472;57922;;1
22682308;58048;;0
15725417;57312;312.02;0
15725539;58260;;1
22682449;59430;;0
15724976;55028;;1
15724974;55024;728.22;8
22682640;60328;;0
22682304;57978;;0
15725560;58300;;1
15725489;58036;;1
15725491;58042;;1
15725498;58082;;1
15725519;58220;;1
15725196;56370;448.44;0
15725163;56244;;1
22682707;60624;;0
15725479;57972;;1
22682668;60482;;0
15725485;58000;;1
15725662;59020;;1
22682488;59528;;0
22682800;61004;;0
15725150;56040;;1
15725331;56710;;1
15725572;58518;472.22;1
22682754;60778;;0
15725559;58298;;1
15725558;58296;;1
15725557;58294;;1
15725556;58292;;1
15725555;58290;;1
15725325;56698;;1
15724955;54300;655.55;0
15724956;54392;;1
15725213;56466;;1
15724998;55122;;1
15724999;55124;;1
15724997;55118;;1
17621459;69506;;1
17621432;69456;;1
15724992;55094;648.44;0
17456365;67128;768.55;0
15725136;55986;;1
22682667;60480;;0
15726680;62262;;1
22682785;60932;;0
15725740;59176;;1
15725393;57226;945.44;0
15725529;58240;;1
22682572;60100;;0
15725156;56148;;1
15725148;56036;;1
15725149;56038;;1
15725339;56726;;1
15725658;59012;;1
22682575;60106;;0
15725300;56648;;1
15725297;56642;;1
17621441;69476;;1
15763322;63736;888.88;0
15725654;59004;;1
22682409;59218;;0
15725023;55462;;1
15725195;56362;;1
15725550;58282;;1
17621395;67424;;1
18555676;68348;568.55;0
18566877;68388;666.66;4
21372239;BL_BATHP3;199.0;2000
19357007;69592;722.22;0
16202308;66050;722.22;0
17635749;69496;1918.08;0
